stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
11,270,Lydia,Paige,"Since I developed the habit of going to the movies alone once a month, I've noticed my perspective on life gradually changing. Recently, I watched a movie where the main character experiences conflicts with those around them due to mistakes, but ultimately conveys their true feelings, which left a strong impression on me. After leaving the theater, I found myself reflecting on my own relationships and felt inspired to muster the courage to be honest with someone.",What kind of experience did the main character have in the movie the speaker recently watched?,Not sure,They made a lot of money by chance.,They experienced conflict due to a mistake.,They traveled and made new friends.,3,They experienced conflict due to a mistake.,0
12,477,Kelly,Royce,"Last month, a friend and I went to a small yoga retreat near Seattle. As soon as we arrived at the cabin, we rolled out our yoga mats on a deck in the forest, and unlike usual, we could hear the sound of the wind and rustling leaves, which helped us hold our poses longer. In the evening, there was a meditation session, and we both burst out laughing because my friend almost fell asleep. It was a meaningful experience to fully relax both our bodies and minds in nature, away from the city.",What made the speaker burst out laughing with their friend at the yoga retreat?,Not sure,The friend lost their balance during meditation,The friend asked the yoga instructor a lot of questions,The friend almost fell asleep during meditation,4,The friend almost fell asleep during meditation,0
13,77,Graham,Jimmy,"A few days ago, I vividly remember visiting a small village in Hawaii with my friends. We stayed at a guesthouse near the beach, and in the evening, we gathered in the front yard to have a barbecue and share stories. The taste of the meat was especially good with the cool breeze, and the sound of the waves mixed with the cicadas’ chirping created a peaceful atmosphere I don't usually get to experience.",What did the speaker do with their friends in Hawaii in the evening that made the time special?,Not sure,They had a barbecue in the guesthouse yard and chatted.,They drank coffee at a cafe in Hawaii.,They climbed the hill and enjoyed the scenery.,2,They had a barbecue in the guesthouse yard and chatted.,0
14,271,Echo,Alex,"Every weekend, I take a small sketchbook and go to a nearby park to draw the scenery—it's been a long-time hobby of mine. I first started back in high school at a friend's suggestion, and I've been dedicated to it ever since. Recently, I've been experimenting with watercolor paints instead of pencils and have become deeply absorbed in the joy of expressing myself through a variety of colors. When I draw in the park, listening to the wind and birdsong, I feel my mind lighten completely.",What new art materials has the speaker recently tried?,Not sure,Pastel,Watercolor paint,Pencil,3,Watercolor paint,0
15,478,Bell,Carl,"Last week, to prepare for our graduation project, my team and I stayed late in the lab, checking the parts each of us was responsible for. As the presentation date approached, a natural sense of tension filled the air, and we got momentarily flustered when the computer suddenly froze. Still, by helping each other solve the problem, we felt a bit relieved. That day, while eating a bag of chips together, new ideas came up, and we realized our teamwork was better than we thought, making the hard work feel rewarding.",What food did the team members eat while preparing the graduation project?,Not sure,Pizza,A bag of chips,Cupcakes,3,A bag of chips,0
16,72,Callan,Matthew,"Last semester, I spent a lot of time in the library because of my classes. During exam periods, my friends and I would stay up all night, quizzing each other and reviewing notes. I worked especially closely with Maddie, since we always teamed up for our economics assignments, and we naturally became good friends. After finishing our work, we’d go to a nearby restaurant to unwind. Maddie once recommended the tortellini soup, and it turned out to be really delicious.",What activities did the speaker do with their friends during the exam period?,Not sure,A walk in the park near the school,Quizzing each other,Solving past exam questions,3,Quizzing each other,0
17,267,Paige,Sara,"A few days ago, while walking through the alleys of Hawaii, I happened to discover a small café painted blue on the outside. Inside, there were handmade ceramic cups and wooden tables, and I could see a beautiful mountain through the window. The owner served coffee that he roasted himself, and along with the aroma of the coffee, he also offered a brownie made with tangerine syrup as a treat. Sitting by the window, enjoying the unique relaxation of Hawaii while reading a book, I lost track of time.",What dessert did the speaker receive as a complimentary item at a café in Hawaii?,Not sure,Cheesecake,Green Tea Madeleines,A brownie with tangerine syrup,4,A brownie with tangerine syrup,0
18,473,Rita,Liam,"Lately, I've developed a hobby of cooking brunch every Sunday. This time, I prepared an open-faced sandwich with creamy scrambled eggs, avocado, and tomatoes. By slowly stirring the eggs on low heat and placing them on toast, they turned out much more moist and flavorful than usual, holding their shape well on the bread. My family praised the meal, saying it was tastier than before, making me feel accomplished.",What ingredients were mentioned as accompaniments to the brunch sandwich the speaker made this time?,Not sure,Bacon and spinach,Avocado and tomatoes,Cheese and ham,3,Avocado and tomatoes,0
19,73,Frankenstein,Slushy,"After returning home from a few days of traveling in Hawaii, I felt an unusual emotion. The moments walking along the beach stayed vividly in my mind, and the conversations with the warm people I met there kept coming back to me. Thanks to that, I developed a renewed appreciation for the everyday blessings I hadn’t really thought about before, and I made a resolution to live each day with more gratitude from now on.",What new resolution did the speaker make after returning from the trip?,Not sure,Learning to swim at the beach,To live each day with gratitude,To travel alone next time,3,To live each day with gratitude,0
20,268,Zoey,Chloe,"Just a few days ago, I fed an elephant at the zoo, which was a really cool experience. I held out a carrot, feeling a bit nervous, and the elephant gently took it with its huge trunk. What surprised me most was how soft its trunk felt—much softer than I expected. My younger sibling stood next to me, laughing at how gentle the elephant was. Afterward, the zookeeper told us the elephant’s name was “Dumbo,” which made the moment even more special.",What was the name of the elephant the speaker fed at the zoo?,Not sure,Dumbo,Ellie,Babar,2,Dumbo,0
21,474,Chase,Chloe,"A few days ago, when our team project was nearing its final stages and the workload became overwhelming, my senior, Maddie, called me aside and bought me a coffee while giving me various pieces of advice. Worried about making mistakes, I listened as Maddie shared her own first project experience and comforted me by saying that failure is just part of the process. Thanks to her, I felt much lighter, and since that day, whenever I face difficulties, I reach out to her for advice.",What prompted the speaker to start contacting Maddie more often?,Not sure,The team project was finished.,Because Maddie apologized to the speaker.,Maddie gave advice and comforted the speaker.,4,Maddie gave advice and comforted the speaker.,0
22,74,Vincent,Bruce,"After class ended, I was rushing out of the lecture hall when I happened to run into a senior in the hallway. Suddenly, they started talking about a club dinner and asked if I would attend. I was so flustered that I couldn't even properly say my name and just nodded. I still clearly remember that moment. Later, when I met that senior again with my friends, I felt my face flush for no reason as I recalled the awkward atmosphere back then.",What did the senior ask the speaker in the hallway?,Not sure,Today's lunch menu,Whether the speaker would attend the club dinner,Assignment submission deadline,3,Whether the speaker would attend the club dinner,0
23,269,April,Starling,"A few days ago, when I got home from work, my wife told me the baby had started moving in her belly. At first, I wasn’t sure I believed her, but when I put my hand on her stomach, I could feel the faint movements myself. That was the moment it really hit me that I was going to be a parent, and my heart started racing before I knew it. That evening, my wife and I talked about baby names and imagined what our daily life together as a family would be like.",What did the speaker do that evening after having this special experience with their spouse?,Not sure,They called friends to share the news.,They discussed and thought about names for their baby.,They exercised while taking a walk.,3,They discussed and thought about names for their baby.,0
24,476,Hans,Lucille,"On my way home from work on a rainy day, I unexpectedly ran into an old friend. She mentioned that she recently started doing yoga and looked noticeably brighter, which left a strong impression on me. Hearing that stretching made her body feel lighter and improved her concentration sparked my interest. So, we made plans to go together to the yoga studio she attends next weekend. I didn’t have the courage to go alone, but thanks to my friend, I felt like giving it a try.",What is the main reason the speaker wants to start practicing yoga?,Not sure,They became interested after seeing how their friend had changed.,Inspired by watching a TV show.,Their health suddenly took a turn for the worse.,2,They became interested after seeing how their friend had changed.,0
25,75,Jackson,Ron,"A few years ago, there was a particularly long rainy season. I remember that despite having plans with a friend, I struggled to get to the meeting place because of the heavy rain, getting completely soaked even though I was using an umbrella. That day, we laughed as we looked out the cafe window at the pouring rain and saw that both of our shoes were soaked. In the end, I caught a cold after going home that evening.",Why did the speaker catch a cold?,Not sure,From exercising with a friend,Got caught in the rain and were soaked through,From walking the dog,3,Got caught in the rain and were soaked through,0
26,270,Paige,Lydia,"On that island where the sunlight softly shone, I rented a bike and slowly rode along the coast. The sounds of the wind and waves mixed together brought a sense of peace to my heart. At a small café, I sipped homemade tangerine tea and gazed out the window for a long time. Time seemed to pass slowly, making me feel as if I had entered another world. As the sun was setting, I sat on the pier, watching the sunset and smelling the lingering scent of tangerines on my hands. That quiet day remains vividly in my memory.",What drink did the speaker have on the island?,Not sure,Iced coffee,Tangerine tea,Strawberry juice,3,Tangerine tea,0
27,477,Royce,Kelly,"A few days ago, I had a back-and-forth with a friend about where to meet up, since we each wanted something different. I wanted a quiet café, but my friend preferred a lively restaurant. In the end, we listened to each other and compromised, choosing a brunch café that was in the middle. That process helped us have a more honest conversation, and it became a chance to understand each other better, which made me feel good.",Where did the speaker ultimately decide to meet their friend?,Not sure,A quiet cafe,Vibrant restaurant,A nice brunch café,4,A nice brunch café,0
28,77,Jimmy,Graham,"A few days ago, I read a book recommended by a friend, and it really changed my perspective. In the past, I would just try to avoid difficult situations, but after reading about the author's experiences with failure and overcoming challenges, I felt encouraged. Since then, I no longer fear small challenges and have come to see failure as an opportunity for growth. That's why nowadays, I make a point to dedicate at least 30 minutes a day to reading.",What changes did the speaker experience after reading the book?,Not sure,Started using their phone less.,Started reading newspapers more often.,Seeing failure as an opportunity for growth.,4,Seeing failure as an opportunity for growth.,0
29,271,Alex,Echo,"A few days ago, while organizing my bookshelf, I came across a novel I had read before. As soon as I picked up the book, uncomfortable feelings surfaced. The story was excessively bleak, and most of the characters hurt each other, which made me feel frustrated throughout the entire read. I remember feeling down for a while after closing the last chapter, and that made me decide I never want to read that book again.",What is the reason the speaker does not want to read the book again?,Not sure,The story is too short.,The story involves characters hurting each other.,Because they didn't like the book cover.,3,The story involves characters hurting each other.,0
30,478,Carl,Bell,"A few days ago, I took out my old film camera and went for a walk on the hill behind my neighborhood, taking photos. Capturing the sunlight filtering through the leaves or the movements of tiny insects brings me great joy. Every time I pick up the developed photos from the lab, I look forward to seeing what scenes have been preserved. This process calms my mind and allows me to focus on one moment, helping me to rediscover moments that are easy to miss in everyday life.",Where did the speaker go to take pictures?,Not sure,Downtown district,The hill behind the neighborhood,Beach,3,The hill behind the neighborhood,0
