stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
19,34,Simon,Frankenstein,"Until a few weeks ago, I used to wake up feeling heavy and down, but recently I started getting into the habit of walking in the neighborhood park. The first few days were annoying and made me sleepy, but as I smelled the air and listened to the birds, my mind gradually calmed, and it changed how I felt about starting the day. After the walks, I found myself less easily irritated by small daily things and instead felt more relaxed.",What is something that the speaker did not mention as a change since starting their morning walk?,Not sure,Reduced irritation even over small everyday matters,Feeling calmer,Increased food intake,4,Increased food intake,0
20,237,Olivia,Janet,"One afternoon, as raindrops gently fell outside the window, I took out some herbal tea I had tucked away deep in the cupboard and brewed it. As the leaves slowly unfurled in the water and a subtle fragrance spread, I felt my mind gradually calm down. Normally, I would have chosen coffee, but today, that soft herbal aroma brought me a lot of comfort. Holding the warm cup in both hands, I quietly gazed out the window and enjoyed the special tranquility that only a rainy day can bring.",In what situation did the speaker end up drinking herbal tea?,Not sure,After a plan with a friend,On an afternoon when it was raining outside the window,After finishing exercise,3,On an afternoon when it was raining outside the window,0
21,438,Valerie,Damian,"One evening, with the window open, raindrops suddenly began to fall. The sound of the rain and the distinctive earthy smell seeping into the room brought back memories of running around in the yard wearing rain boots as a child. The air, usually unnoticed, felt fresher and more invigorating today. The scent spreading as the raindrops hit the ground gave a sense of a small break from everyday life, and a peaceful feeling washed over me, as if all worries had momentarily disappeared.","On a rainy evening, what scent did the speaker notice along with the sound of rain?",Not sure,The scent of earth,The scent of the sea,Floral fragrance,2,The scent of earth,0
22,35,Edward,Philip,"When I was sitting alone in a small café in Havana, an elderly Cuban man sitting next to me struck up a conversation. He said he had traveled to the U.S. when he was young and vividly recalled the scenery and food he experienced back then. We communicated in our own languages, but our feelings were conveyed well through gestures and smiles. Thanks to that, my solo trip didn’t feel lonely; it felt warm instead.",What experience did the elderly Cuban man the speaker met at the café share?,Not sure,Experience working in South Korea,Experience of traveling in the U.S.,Experience studying in Korea,3,Experience of traveling in the U.S.,0
23,238,Lucille,Helena,"One rainy day, while walking through a small rural village without an umbrella, I met a kind lady. I still can't forget how she smiled as she offered her umbrella to a stranger. Thanks to her, I was able to feel warmth even in an unfamiliar place, and I realized that travel is not just about seeing new places, but also about gaining deep inspiration and lessons from simple encounters with people.",What was the most memorable experience the speaker had in the unfamiliar rural village?,Not sure,Walking alone on a rainy day.,A local lady offered the speaker her umbrella.,Seeing a new place.,3,A local lady offered the speaker her umbrella.,0
24,439,River,Tina,"I still remember the day a few days ago when I went for a walk and a hike. While quietly walking along a dirt path, I suddenly heard a small sound and turned my head to see a squirrel quickly climbing up a tree trunk. Our eyes met for a moment, and it paused briefly before quickly hiding among the leaves. Thanks to that brief encounter, I felt good throughout the hike that day and was reminded once again of the specialness that these unexpected moments in nature bring.",What animal did the speaker encounter while hiking in the mountains?,Not sure,Squirrel,Cat,Rabbit,2,Squirrel,0
25,36,JackoLantern,Ron,"I decided to play board games at home with my older brother for the first time in a while. We made a bet where each time someone won, they got a small snack, which made the atmosphere much more exciting. In the last game, my brother accidentally moved a piece wrong, and I ended up making a comeback and winning. Since he's usually better at this game, I was happy to beat him. I got chocolate as my snack, and my brother said he was disappointed but promised he would definitely win next time. These little competitions seem to bring us closer together.",What was the reason the speaker made a comeback win in the final round of the board game?,Not sure,The brother gave up on the game.,The brother made a wrong move.,They used a special strategy.,3,The brother made a wrong move.,0
26,239,Audrey,Starling,"I recently started learning pottery craft on a friend's recommendation. At first, it felt strange having clay on my hands, but I was fascinated to see the shape change with my touch. Especially last week, I made a cup, but the rim came out uneven, so the teacher showed me how to smooth it out by wetting it. It’s not a finished product yet, but I’m really excited to soon be able to use a cup made by my own hands.",What method did the teacher show the speaker for refining the top part of the item they made in pottery class last week?,Not sure,How to sand down with sandpaper,How to shape by moistening with water,How to dry with hot air,3,How to shape by moistening with water,0
27,440,Athena,Edward,"A few days ago, I suddenly remembered the summer vacation trip I took with my friends in high school. We gathered at a pension near the beach and spent the night playing card games and laughing together. During the day, we were trekking along a nearby mountain when we were caught in an unexpected downpour, so we all huddled together under a small pavilion to take shelter from the rain. Someone brought an umbrella, and as we all gathered under it and chatted for a long time, I felt like we grew even closer, not minding our wet hair at all. Since that day, our bond has felt much stronger.",Where was the place where everyone gathered to avoid the sudden rain shower during the trip with friends?,Not sure,Beach,Pension living room,A small pavilion,4,A small pavilion,0
28,37,Santa,Hugh,"While sitting in the yard with my grandfather in the evening, he told me a story about how he used to make kites with the village children every winter when he was young. He made the kites himself using tree branches and newspapers, and we all laughed when he said that once, the wind was so strong that the kite got stuck at the top of a tree, and they couldn’t find it for several days.",What was one material Grandpa used to make the kite?,Not sure,Plastic,Newspaper,Plastic bag,3,Newspaper,0
29,240,Patricia,Lucille,"At the last department meeting, there was a group game, and my group suddenly had to do a talent show. We weren’t prepared at all, but my friends and I quickly gathered and danced, trying to remember the childhood dance moves we had learned. There was a funny moment when the music suddenly stopped halfway through, so everyone paused for a moment, then laughed and continued. Because of that, our group unexpectedly received a big round of applause, and everyone took a lot of pictures, saying they wanted to remember that moment for a long time.",What activity did the speaker's group suddenly have to do during the meeting?,Not sure,Cooking competition,Quiz competition,Talent show,4,Talent show,0
30,441,AnnabelletheGhost,Lloyd,"One rainy evening, my family and I gathered in the living room to watch a movie we’d been wanting to see for ages. Normally, we all hang out in our own rooms, but being together, laughing and talking, really warmed my heart. After the movie, we shared our thoughts about the characters and kept the conversation going for a while. In that moment, I realized that even a regular day can feel special and meaningful.",What activity did the speaker do after watching a movie with their family?,Not sure,They had dinner together.,They had a conversation about the characters' actions.,They went for a walk.,3,They had a conversation about the characters' actions.,0
