stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
11,291,Sara,Kelly,"At a small hostel in Paris, I shared a room with a few other travelers. In the evenings, we’d swap stories about our trips. Marco from Brazil mentioned he cooks his own meals to save money, so that night we each made a dish from home. I cooked fried rice, and Marco made a black bean dish. As we tried each other’s food and laughed about funny travel moments, I realized that even if we speak different languages, it’s easy to become friends quickly.","What food did Marco, whom the speaker met at the hostel, prepare for dinner?",Not sure,Fried rice,Black bean dishes,Spaghetti,3,Black bean dishes,0
12,503,West,Bell,"Whenever my friend was struggling, I wanted to help, but my own emotions would get shaken first, making it hard to offer comfort. So, I started meditating for 10 minutes every morning a week ago. At first, my mind was full of random thoughts, and I couldn’t focus well, but after about three days, I experienced a calmness by paying attention to my breathing. Thanks to that, I was able to manage my emotions first when talking with my friend and listen to them more sincerely.",What prompted the speaker to start meditating?,Not sure,To be better at managing emotions.,To wake up early in the morning.,To relieve stress.,2,To be better at managing emotions.,0
13,102,Wade,Ben,"I traveled by train from early morning and barely got any sleep, so fatigue hit me hard. As soon as I arrived, it started raining, and without an umbrella, I wandered around looking for my accommodation. Google Maps malfunctioned, and I ended up walking in the opposite direction for quite a while. My luggage was heavy, I was hungry, and there were no restaurants in sight, making that the toughest moment of this trip.",What problems did the speaker encounter when looking for their accommodation during the trip?,Not sure,Couldn't get a taxi.,Google Maps malfunctioned.,There was no umbrella at the hotel.,3,Google Maps malfunctioned.,0
14,292,Lucille,Athena,"On a quiet weekend at home, I lay in bed more leisurely than usual, feeling the sunlight streaming through the curtains. The sound of birds outside the window mixed with the aroma of coffee filled my heart with a sense of calm that I don't get to experience on busy weekdays. I toasted some bread and played my favorite music, and even though I was alone, it became a truly special morning. It seems that moments like these add up to simple happiness.",What did the speaker do on the weekend morning?,Not sure,They had a phone call with a friend.,They took a walk in the park.,They toasted some bread and ate it.,4,They toasted some bread and ate it.,0
15,504,Justin,Maisie,"A few days ago, I recalled a trip to Hamoa Beach in Maui with a friend. We marveled at the view where the blue sea met the fine sand and enjoyed freshly made pineapple juice at a small café. In the afternoon, we rented bikes and rode along the coastal road, feeling the refreshing breeze, and as the sun was setting, we took lots of photos under the red-hued sky. Thanks to the relaxed atmosphere and friendly people there, I felt much lighter at heart and thought that I definitely want to go back.",What did the speaker drink with a friend at Hamoa Beach?,Not sure,Iced americano,Pineapple juice,Peach smoothie,3,Pineapple juice,0
16,97,Viktor,Royce,"A few weeks ago, when we went on a retreat, it was really fun to sit around at night and show off our special skills. I performed a magic trick on the spot, and everyone burst out laughing when a usually quiet senior suddenly started rapping. Thanks to the games and conversations that went on late into the night, I was able to get closer to my friends.",What did the usually quiet senior unexpectedly show during the retreat?,Not sure,Magic,Rap,Song,3,Rap,0
17,288,Chloe,Margot,"A few days ago, my cat Milo suddenly jumped up onto the bookshelf, which she usually doesn’t climb. There was a small toy I had left there a few days ago and forgotten about, and I was really amazed to see Milo carefully carry the toy in her mouth and place it next to my bed. She didn’t ask me to take the toy out or anything—her behavior was so impressive, as if she was taking care of my belongings.",What was something Milo did that she usually doesn’t do?,Not sure,Jumping up onto the bookshelf,Taking something out from under the bed,Hiding the toy,2,Jumping up onto the bookshelf,0
18,500,AnnabelletheGhost,Landon,"A few nights ago, my wife and I took a walk and talked about the early days of our marriage. Before our child was born, we’d spend weekends watching movies or trying new restaurants, but now most of our time goes to caring for the baby. Even with these changes, we’ve grown closer, and our baby’s smile makes all the tiredness worth it. It made me realize that families really do grow together through these changes.",What activities did the speaker mainly do on weekends before their child was born?,Not sure,Traveled around.,Went to the movies or explored popular restaurants.,Rested at home.,3,Went to the movies or explored popular restaurants.,0
19,99,Rusty,Peter,"Back when I was on a sports team, my club friends and I used to practice late into the evening at the school gym before competitions. Every day, I had to take my sweat-soaked workout clothes home to wash them, and after practice, the coach would hand out homemade tea, which really helped relieve our fatigue. On the day of the competition, everyone was nervous, but we held hands and shouted ""Fighting!"" together, showing our unity.",What drink did the coach hand out to the players after practice?,Not sure,Coffee,Tea,Soda,3,Tea,0
20,289,Stephanie,Maddie,"After the rain stopped, I took my dog Max for a walk in the park near our house. Max ran around on the wet grass more excitedly than usual, then suddenly stopped near a small pond and stared at his reflection in the water for a long time. I took a picture of him like that, but because of it, I had to clean Max’s paws thoroughly after the walk. His paws were covered in grass and mud.",What was Max doing near the pond during the walk?,Not sure,Jumped into the pond,Rested near the pond,Looked at his reflection in the water,4,Looked at his reflection in the water,0
21,501,Neoguard,Samantha,"A few days ago, while having dinner with college friends for the first time in a while, I recalled how I used to think success and fame were the most important things in life. But before I knew it, I realized that ordinary time spent with family feels the most precious, and the small memories of laughing with friends warm my heart. These days, I tend to believe that the small joys in everyday life, rather than achievements, determine the value of my life.",What change did the speaker say they experienced regarding what they feel is important in life during a dinner with friends?,Not sure,"They used to value time with my family the most, but now they think honor is more important.","In the past, they valued success and fame, but now they cherish the small joys of everyday life and time spent with family and friends more.","Lately, they’ve come to realize that their health is the most important thing.",3,"In the past, they valued success and fame, but now they cherish the small joys of everyday life and time spent with family and friends more.",0
22,100,UncleHank,Logan,"While riding my bike along the riverside path near my house, a squirrel suddenly darted out in front of me, causing me to slam on the brakes. I almost lost my balance and fell off the bike, but thankfully, I gripped the handlebars tightly and stabilized myself. After calming my startled heart, I slowly started again, and from then on, I became more cautious about what might be on the path ahead.",What was the reason the speaker suddenly applied the brakes while riding the bike?,Not sure,It suddenly started raining.,Someone appeared in front of them.,A squirrel popped out.,4,A squirrel popped out.,0
23,290,Sophia,Alex,"One rainy day, I remembered a friend standing in the school hallway holding an umbrella. When he saw that my umbrella was broken, he casually came over and suggested we share his. The excitement I felt under his umbrella back then is something I still haven't forgotten. Walking home with a pounding heart, even the sound of the rain seemed sweet, and though the distance was short, it was a special moment I'll remember for a lifetime.",What moment did the speaker recall that made their first love feel special?,Not sure,The moment they shared an umbrella together,The moments they ran together on the playground,The moments they studied for the exam together,2,The moment they shared an umbrella together,0
24,502,Jodie,NewscasterJohn,"I still vividly remember the trip to the Virgin Islands with my friends two months ago. By chance, we climbed a hill on a rainy day, and when we reached the top, a rainbow appeared through the clouds. Suddenly, we excitedly took pictures in the rain, joked around, and laughed out loud. In the evening, we grilled barbecue on the grill, sharing worries we hadn’t been able to talk about before. It was a short trip, but it felt truly special because it gave me a rare chance to feel completely at ease.",What special thing happened when the speaker reached the top during the trip to the Virgin Islands?,Not sure,It suddenly started snowing.,A rainbow appeared.,It got very cold.,3,A rainbow appeared.,0
25,101,Kanno,Mark,"Recently, I visited a pottery studio on a friend's recommendation. The process of shaping the clay by hand was more calming and stress-relieving than I expected, and I really enjoyed it. Engraving my name on the finished mug made it feel like a one-of-a-kind item, and I definitely wanted to recommend this experience to people around me.","What did the speaker make at the pottery workshop, and what special experience did they have?",Not sure,Made a plate and painted a picture.,Made a mug and engraved a name on it.,Made a flowerpot and painted it.,3,Made a mug and engraved a name on it.,0
26,291,Kelly,Sara,"A few years ago, I remember starting to live alone in a new city. With family and friends all far away and everything unfamiliar, I struggled to adjust every day. At first, I lacked confidence even in small things, but as I gained experience solving problems on my own, I felt myself grow stronger inside. Thanks to that time, I now believe I’m no longer afraid of unexpected situations and can enjoy new challenges.",In what situation did the speaker feel they grew the most?,Not sure,When they traveled with their family,When hanging out with friends and doing club activities,Living alone in a new city,4,Living alone in a new city,0
27,503,Bell,West,"On a rainy afternoon, I walked through the neighborhood park holding an umbrella. The usually crowded walking path was empty and quiet. As I walked, listening to the sound of raindrops hitting the leaves, I actually felt calm. Although it was inconvenient to have my shoes get wet, the feeling of raindrops brushing against my face was refreshing. Unlike usual, I was able to sort through my thoughts alone, and the time spent walking in the rain unexpectedly felt precious.",What was the strongest emotion the speaker felt while walking on a rainy day?,Not sure,Anxiety,Comfort,Depression,3,Comfort,0
28,102,Ben,Wade,"Every New Year, our family makes a resolution to do something meaningful together, and this year, we volunteered at the local community center’s free meal service with my grandmother. At first, it felt unfamiliar and awkward, but my mom busily handed me dirty dishes, my dad helped with the dishes, and everyone was on the move. My grandmother chatted with the elderly guests, never losing her smile, and I was in charge of serving hot soup. Each time I received a heartfelt thank you, I felt a deep sense of pride.",What role did grandmother mainly take on during the New Year's volunteer activities?,Not sure,Washed dishes.,Talked with the elderly guests.,Served the side dishes.,3,Talked with the elderly guests.,0
29,292,Athena,Lucille,"A few nights ago, my friend and I were sitting in a café late at night, talking for a long time, and I realized that I really don't know what I like these days or what I want to do in the future. Since entering college, I've tried joining several clubs and working part-time jobs, but maybe because I don't have a clear goal, I always feel like something is missing. Seeing my friends gradually finding their own paths makes me unnecessarily anxious, and I've been snapping at my family more often for no reason. So, I'm wondering if taking a short trip might help me find some answers.",In what situation did the speaker recently begin to feel uncertainty about their future again?,Not sure,While consulting with the teacher,Chatting with a friend at a cafe late at night,Having dinner with their family,3,Chatting with a friend at a cafe late at night,0
30,504,Maisie,Justin,"A few days ago, I went to the movies with a friend, something we’d been planning for a while. The film was by a director I usually enjoy, so I was really looking forward to it. The way the characters hesitated and then found the courage to make decisions made me think of myself. In the final scene, when the main character made peace with a loved one, it reminded me of my own past mistakes and forgiveness. Afterward, my friend and I talked about our experiences and took some time to reflect on life.",Which scene in the movie reminded the speaker of a past memory?,Not sure,The scene where the main character leaves for a new city,The scene where the main character reconciles with someone they care about,The scene where the main character quits their job,3,The scene where the main character reconciles with someone they care about,0
