stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
21,461,Matthew,Maddie,"On the subway heading back to my hotel, a group of people suddenly started singing loudly, which caught me by surprise. In Korea, I'm used to staying quiet on public transportation, but here, everyone naturally clapped along or joined in singing. At first, I was taken aback, but gradually I found the free-spirited atmosphere fascinating and enviable. Since that day, I've tried to join in little by little.",What was the reason the speaker experienced culture shock?,Not sure,Because people were dancing on the subway,Because people were singing loudly on the subway,Because people were eating food on the subway,3,Because people were singing loudly on the subway,0
22,61,Hugh,CaptainBill,"I have been obsessed with pottery for a few months now, and I go to a studio every weekend. At first, I was disappointed because the clay wouldn’t move the way I wanted it to in my hands, but gradually, by focusing on my fingertips and slowly shaping the form, I learned patience. Although the finished pieces aren’t perfect every time, I realized that with effort and time, my own unique style will definitely emerge.",What was the most important lesson the speaker learned through making pottery?,Not sure,The idea that every work must be perfect,The importance of effort and time,The point that quick results are best,3,The importance of effort and time,0
23,258,Natalie,Annie,"A few days ago, on an afternoon when it was raining on and off, I went to a nearby park with my child for the first time. We shared a small umbrella and held hands tightly as we walked, and suddenly, my child saw their reflection in a puddle and burst out laughing. They're usually quiet, so it was the first time I saw that side of them, and that moment was so precious that we forgot about taking photos and just laughed together for a long time. On the way home, I still remember my child carefully picking up a leaf and holding it tenderly, saying they wanted to show it to their mom.",What reaction did the child have when they saw their reflection in the puddle in the park?,Not sure,Burst into tears.,Laughed out loud.,Passed by quietly.,3,Laughed out loud.,0
24,462,Hailey,Furnando,"A few days ago, I took my new puppy from the shelter to the vet for his first visit. As soon as we walked in, he got nervous and clung to me. The vet checked him over and explained his health and the shots he’d need. We also did blood tests and parasite screenings, which are standard for new puppies. Afterward, I gave him a treat, and he wagged his tail a bit, looking a little more at ease. I’m really looking forward to all the time we’ll have together from now on.",What kind of tests did the dog undergo at the veterinary clinic?,Not sure,Hearing test and vision test,Blood test and parasite test,Genetic testing and temperature measurement,3,Blood test and parasite test,0
25,62,Duke,Ron,"As the plane’s departure time got closer, my heart felt heavier. I was filled with regret that our honeymoon was ending. In the airport waiting area, I held my husband’s hand tightly, and we took one last photo together. We helped each other with our bags and shared a few quick jokes, but the sadness showed on our faces. When it was time to board, my husband gave a small wave, and I said goodbye with tears in my eyes.",What was the last thing the speaker did at the airport?,Not sure,They bought souvenirs together.,They took a commemorative photo.,They said goodbye.,4,They said goodbye.,0
26,259,Valerie,Emma,"Recently, I was put in charge of a new product promotion at work and prepared a plan with my team, but contrary to expectations, the partner company frequently requested revisions to the drafts, causing the schedule to keep getting delayed. Especially at the end, due to a rushed change in the budget, our team had to hold several late-night meetings to find alternatives. Still, I felt proud that we all came together to share ideas and produced good results.",What caused the team's schedule to be delayed during the process of preparing the promotion?,Not sure,Request for revisions to the drafts from the partner company,Internal promotion,Lack of participants,2,Request for revisions to the drafts from the partner company,0
27,463,Kelly,Slushy,"A few days ago, while walking along a forest trail on Vancouver Island with my friends, thick fog suddenly started to roll in. We lost our sense of direction and paused for a moment, but then we heard the sound of a bell from somewhere. Following the sound, we were able to find our way back to the path we originally came from. When we returned, everyone was amazed and curious about who had rung the bell, but there was no one nearby, and we never figured out the source of the bell sound. Since that day, my impression of the forest trail has completely changed.",What helped the speaker find their way on the forest trail in Vancouver Island?,Not sure,Sound of the wind,Bell ringing,Mobile phone map,3,Bell ringing,0
28,63,Kanno,Larry,"A few days ago, after our team project presentation, the professor called our team aside to praise us. At first, it was difficult to coordinate because everyone had different opinions, but by respecting each other's ideas, searching for materials, and discussing late into the night, we were able to produce a high-quality result. It was especially meaningful because it was an achievement we accomplished together with my classmates.",What was mentioned as the reason for the team project's success?,Not sure,"Personally, by studying hard",Respecting each other's opinions and cooperating together,Receiving a lot of help from the professor.,3,Respecting each other's opinions and cooperating together,0
29,260,Annie,Charlotte,"I still remember how excited I was the first time I flew on a plane. I spent ages just staring at the clouds outside the window. When I landed, I was a bit lost because I didn’t know how to exchange money at the airport, but a helpful staff member made sure I got the local currency. In the taxi to my hotel, everything looked and sounded so different that I felt both awkward and amazed. After unpacking, I visited a nearby market, where the strong smell of food tempted me to try some unfamiliar street food.",What was the first thing that happened to the speaker at the airport when they first arrived at the airport overseas?,Not sure,They were flustered because they lost their luggage.,They were a bit flustered because they didn’t know how to exchange money.,They met a local friend at the airport.,3,They were a bit flustered because they didn’t know how to exchange money.,0
30,465,Benny,Grace,"I vividly remember a trip to San Francisco with my friends in late autumn a few years ago. Since I don’t usually get to see the ocean often, I was really excited when we arrived at Baker Beach. We took pictures on the sandy shore while feeling the sea breeze, and spent precious time drinking warm coffee at a nearby cafe, listening to the sound of the waves. In the evening, we went for a walk near Golden Gate Park and happened to come across a barbecue where I tried a hot dog for the first time. The trip was filled with small joys throughout, making it an unforgettable memory.",What food did the speaker try for the first time in San Francisco?,Not sure,Hot dog,Hamburger,Potato salad,2,Hot dog,0
