stimulus_num,old_num,name_target,name_interference,utterance,question,option1,option2,option3,option4,answer_index,answer,snr_db
11,281,Annie,Amber,"I still vividly remember the day I went to a music festival held in the countryside with my friends for the first time. We were worried it might rain, but the calm clouds actually made the stage lights look even more spectacular. When our favorite band played an unreleased song from their new album on the final night, everyone cheered, and the moment my friend and I held hands and sang along is something I’ll remember for a long time. That day, instead of official merchandise, we gave each other bracelets we made ourselves right there at the festival.",What did the speaker share with a friend at the festival instead of official merchandise?,Not sure,T-shirt,Handmade bracelet,Music CD,3,Handmade bracelet,0
12,489,Annie,Jeff,"A few nights ago, my child was cuddling in my arms and suddenly clearly said, ""Mom."" Hearing that one word for the first time brought tears to my eyes. It was incredible and overwhelming that the baby, who had only been babbling until then, called my name. My husband took out his phone to record a video so he wouldn’t miss the moment, and we watched our child's first word over and over, laughing together. Since that day, the child has been following me around, repeatedly saying ""Mom,"" which made me feel really happy all day long.",What did the speaker’s spouse do the moment he heard the child's first words?,Not sure,Tears welled up.,Recorded a video with the speaker's cellphone.,Quietly read a book.,3,Recorded a video with the speaker's cellphone.,0
13,90,Chester,Mark,"Tonight, I got off work a little later than usual, and as soon as I got home, I sat down in front of the tropical fish tank. The guppies were unusually active and gathered near the surface, probably because they had been eagerly waiting for feeding time all day. The little shrimp busily scurried along the sandy bottom looking for food, which was adorable. Next to the new driftwood I added yesterday, a crab was resting. I checked the water thermometer, and the temperature was just right, so I felt relieved.","When the speaker arrived home and sat in front of the tropical fish tank, where were the shrimp mainly, and what were they doing?",Not sure,"They were on the sandy ground, searching for food by moving back and forth.",They were swimming close to the surface.,They were resting next to the rock.,2,"They were on the sandy ground, searching for food by moving back and forth.",0
14,282,Grace,Charlotte,"A few days ago, while planning a trip with a friend, we had a bit of an argument because we wanted to visit different places. At first, I only insisted on my own opinion, but when my friend honestly explained why they wanted to go there, I changed my mind. In the end, we each picked one place and planned the itinerary, allowing us to have a variety of experiences. That moment really made me realize how important it is to try to understand the other person's perspective.",What led the speaker to compromise with their friend while making travel plans?,Not sure,The friend made a reservation for the accommodation.,The friend brought along another person.,The friend honestly told their reason.,4,The friend honestly told their reason.,0
15,490,KilliantheVampire,Glenda,"Amid the hectic days of preparing for our wedding, we decided to take a short trip to relieve some stress. Originally, we wanted to go abroad, but it was difficult to coordinate the schedule and budget, so we had a lot of doubts. Then, by chance, we saw some photos of Florida that a friend sent, and we both loved them immediately, so we made the decision right away. I vividly remember feeling excited because the natural scenery was beautiful, and we expected to enjoy lots of delicious food.",What made the speaker decide on Florida for the honeymoon destination?,Not sure,Heard about the airfare discount,Seeing the photo their friend sent,Family recommendation,3,Seeing the photo their friend sent,0
16,84,Tyson,Sean,"I vividly remember the first time I visited an elderly woman living alone in our neighborhood when I was in the 6th grade, encouraged by my homeroom teacher. I felt awkward and nervous before the visit, but as I went to the market with her and helped clean her house, our conversation flowed naturally. She peeled oranges for me and shared stories from the past, and I realized for the first time that even a small help from me could bring her great joy. Since that day, I have developed a more positive attitude toward volunteering.",Which activity did the speaker not do with the elderly woman?,Not sure,Going to the market,House cleaning,Park walk,4,Park walk,0
17,278,Kelly,Lindsay,"I remember it was a rainy day, and I was standing by the classroom window, worried because I hadn’t brought an umbrella. At that moment, Mikayla, who usually didn’t say much, came over and offered to share the umbrella she had brought. Underneath the umbrella, Mikayla and I had our first long conversation, and after that, we often shared each other’s secrets and became close friends. This experience with Mikayla made me realize what true friendship really means.",In what situation did the speaker become close with Mikayla?,Not sure,Eating lunch together with packed meals during lunchtime.,"On a rainy day, Mikayla shared her umbrella with the speaker.",They ended up on the same team at the sports day.,3,"On a rainy day, Mikayla shared her umbrella with the speaker.",0
18,486,Shana,KilliantheVampire,"A few days ago, I had a deep conversation with a friend I hadn’t seen in a while, and it made me reflect on how much love as an emotion means in my life. Usually, I took it for granted, but after hearing that my small acts of kindness and support were a great help during my friend’s difficult times, I realized that sharing my heart with someone holds more value than just a simple feeling. Since then, I’ve been trying to be kinder to the people around me.",How did the speaker help their friend during a difficult time?,Not sure,Provided financial support,Went on a trip together,Showed care and support,4,Showed care and support,0
19,86,Royce,Sean,"Last weekend, it was cloudy and looked like it might rain, but I went to brunch with Mikayla for the first time in a while. I’d heard it was usually crowded, but maybe because of the weather, there were plenty of seats. We ordered an omelet and pancakes, Mikayla got a latte, and I had a grapefruit ade and apple juice. Spending time with a friend after so long made even our small conversations feel really special.",What drink did the speaker order at the café?,Not sure,Americano,Apple juice,Latte,3,Apple juice,0
20,279,Janet,Camila,"A few days ago, my classmates and I started preparing for the festival booth together. We each took on different roles, and I was in charge of running the game corner. While preparing, we all stayed in the classroom late into the night, making props and helping each other fix any mistakes. On the day of the festival, more students than expected came to our booth to enjoy the games we had prepared, and in the end, our teacher praised us, which made me feel proud.",What role did the speaker play in preparing for the festival?,Not sure,In charge of prop making,Food sales manager,In charge of the game corner,4,In charge of the game corner,0
21,487,Athena,Jake,"A few days ago, while walking alone along the Pensacola beach, I happened to meet a lady painting by the shore. When I approached and complimented her artwork, she smiled and said it was her hobby to capture the landscapes she encountered during her travels on canvas. She kindly encouraged me to try holding the brush right then and there, so I drew a small fish with the beach as a background for the first time. It was more fun than I expected, and I lost track of time. She even gave me a postcard she had painted herself, leaving me with a wonderful memory.",What gift did the lady the speaker met on the beach give them?,Not sure,Handmade shell necklace,Hand-drawn postcard,A small stone picked up at the beach,3,Hand-drawn postcard,0
22,88,Brad,Icarus,"A few days ago, I felt really hurt because it seemed like my friends ignored my opinion during our gathering. In the past, I would have obsessed over it, and my self-esteem would have dropped, but this time, when I got home, I wrote down the things I did well. I also reminded myself that my opinion wasn’t wrong. Encouraging myself like that for a few days gradually lifted my spirits and helped me regain confidence. I felt proud, realizing that I’ve learned to value myself more than before.",What specific actions helped the speaker regain their self-esteem?,Not sure,Shared their opinion with their friends.,Wrote down the things they did well.,Talked to their parents about their concerns.,3,Wrote down the things they did well.,0
23,280,Amber,Catherine,"A few days ago, I was sitting on the living room sofa reading a book when our cat, Milo, suddenly sat by the window, flicking her tail and staring intently outside. Absentmindedly, I asked, "" Milo, what's going on?"" At that moment, she looked at me once, then went over to the window and started batting a small toy with her paw. It felt like she was trying to tell me something, which was both fascinating and mysterious.",What did the cat Milo do while sitting in front of the window?,Not sure,Staring intently out the window,Sleeping,Scratched the window,2,Staring intently out the window,0
24,488,Owen,Liz,"When I stepped into the house with my younger sibling, I saw a small puppy wagging its tail and approaching for the first time. The whole family clapped and welcomed it, and I cautiously reached out my hand. When the puppy licked my hand, I laughed at the ticklish sensation. That evening, everyone gathered to discuss naming the puppy. In the end, we all agreed that the name "" Luna,"" suggested by my sibling, was the best. The warmth of Luna, who was held in my arms for the first time, lingered on my hand for a long time.",What process did the family go through when choosing the puppy's name?,Not sure,They asked a relative.,Each person wrote their favorite name on a piece of paper and drew one.,"After everyone gathered and shared their opinions, they decided on the name suggested by the younger sibling.",4,"After everyone gathered and shared their opinions, they decided on the name suggested by the younger sibling.",0
25,89,George,Viktor,"A few days ago, our team hosted a small concert through our club. As the leader, I personally divided the tasks and took care of everything from renting the venue to creating promotional posters. We were caught off guard by an unexpected sound system issue, but working with my team to find a quick solution made me appreciate the importance of teamwork even more. Thanks to that, everyone felt proud once the concert was over.",What problem did the speaker encounter during the preparation for the concert?,Not sure,A sound issue,A lighting issue,A printing issues,2,A sound issue,0
26,281,Amber,Annie,"The dark storm clouds I’d seen through the window quickly turned into heavy rain, and without an umbrella, I got soaked as I ran. Suddenly, the other person grabbed my hand and led me into a corner of an alley. After a silent glance, they gently kissed me in the rain. Even though people were nearby, the sound of the rain covered everything, turning any awkwardness into excitement. For that brief moment, it felt like time stopped.",Where did the other person lead the speaker to take shelter from the rain?,Not sure,Inside the cafe,At the bus stop,In the corner of an alley,4,In the corner of an alley,0
27,489,Jeff,Annie,"Since I was young, I’ve loved sitting by the window when it rains, listening to the raindrops on the glass. Today, I finished work early, came home, made some tea, and quietly watched the rain outside. I enjoyed seeing the droplets gather and run down, and the streetlights looked even more nostalgic in the wet evening. Rain always brings me a sense of calm and reminds me of walking under an umbrella with an old friend.",What did the speaker think of while looking at the rain outside the window today?,Not sure,Memories of walking under an umbrella with an old friend,Childhood trips with their parents,A scene of attending class at school,2,Memories of walking under an umbrella with an old friend,0
28,90,Mark,Chester,"I still vividly remember the trip I took to Seattle with my friends a few years ago. The time we spent chatting late into the night while listening to the waves at Alki Beach felt truly precious. I especially loved the warm coffee I had at a traditional coffee shop tucked away in a small alley, and I’d love to visit that place again someday. Whenever I look back at the photos we took, the atmosphere and feelings from that time come flooding back, bringing me a sense of peace.",Which place does the speaker remember most from their trip to Seattle?,Not sure,Bridge,Traditional coffee shop,Large shopping mall,3,Traditional coffee shop,0
29,282,Charlotte,Grace,"I remember one day during the semester, going on a photo shoot to a nearby park with my friends from the photography club after school. At first, it felt awkward being the model, but my friends lightened the mood by making me strike fun poses, and soon I couldn’t stop laughing. By evening, we gathered all the photos we took, complimented each other's shots, and shared some snacks. One of the photos we took that day still sits on my desk in my room.",Where did the speaker and their photography club friends hang out after school?,Not sure,School classroom,Nearby park,Library,3,Nearby park,0
30,490,Glenda,KilliantheVampire,"When I open the window, the fresh scent of wood spreads and seeps into the room. After brushing my teeth, I take a cup of warm tea and step out onto the balcony, where I can hear birds chirping in the distance. Sometimes, I even catch sight of a rabbit nibbling on grass, and at those moments, I quietly hold my breath and enjoy the scene. Mornings in the forest feel new every day, offering a tranquility and closeness to the sounds of nature that you can't experience in the city.",What animal did the speaker see while drinking tea on the balcony on a forest morning?,Not sure,Deer,Rabbit,Cat,3,Rabbit,0
