name,voice_id
Kelly,tc_627ae5cd14dc32608fdaffa8
P-0150N,tc_62849c6d4b8771d984837ff6
Claire,tc_628d9c881374f768260298b0
Sara,tc_628d9d5b75e5cde93b873079
Sophia,tc_6296a8797f24a46b8273606d
Tyson,tc_629fe969a31b8f569a9b1f15
Olivia,tc_62a8975e695ad26f7fb514d1
Joshua,tc_62baac399b316e5fec036a26
Samantha,tc_62baac538f06bd484ee976bd
Tim,tc_62ce546661d31a90a0f786d0
Cyrus,tc_62d66c463c017468ffbd53ed
Mia,tc_62df8e33e435e7a9350f3099
Owen,tc_62e8f1e86627e27dcffd8884
Stephanie,tc_62f223d11643eebf963582f7
Leo,tc_62fb678f9b93d9207fa8c032
Ella,tc_62fb679683a541c351dc7c3a
Agatha,tc_63049449e7dfae64b10c6cb9
Rachel,tc_630494521f5003bebbfdafef
Sean,tc_6304945aa2fc5265848f300e
Caleb,tc_630ddacc02e347147b7d9590
Rebecca,tc_631725814e0d806f7158efde
Rex,tc_6322940059d649937b97f326
West,tc_632a757ae7c78a412f5a36c0
Lindsay,tc_632a759503f3cb7b9c8a717b
Ben,tc_63350626a4d11d74fc90e06c
Justin,tc_633d530f093ca33db95de02b
Tina,tc_6347828cd3835443f0fcd572
Henry,tc_6347829caf3bab65523c3240
Killian the Vampire,tc_634f8eb8165554e4256eeda1
Sabrina the Witch,tc_634f8ec12e351d8a3d548e61
Frankenstein,tc_634f8ecab302fd064cd4c20f
Jack-o’-Lantern,tc_634f8ed3165554e4256eedac
Annabelle the Ghost,tc_6351fe842e351d8a3d558e1e
Millie,tc_6359e7f6467f9e240b68292c
Philip,tc_63622ab3ce9c868d3a7eaa98
Abigail,tc_636b1d8ae820660d79a740f7
Athena,tc_63745dc2d87a09363fb4391d
Patrick,tc_637cbff794cf9b355ca6f6c6
Jodie,tc_637cc000808a2da802dcb402
Mrs. Claus,tc_6386d6b4bd1e28def9077e15
Santa Claus,tc_6386d6bf146d8da2a87ae54d
Bell,tc_638efbaec39679f98353178d
Noel,tc_638efbb7fac82cf52330aa49
Buddy,tc_638efbbfc39679f9835317a0
Liz,tc_639ad2972cce84809db3cfd3
Charlotte,tc_63a3d9e24b235ddd6541a799
Graham,tc_63aaebfaf95b9c23b311c88d
Cole,tc_63b66515af8bf60c80b87642
April,tc_63be4f3d1b9bdfe02e12ddfc
Maddie,tc_63c76c7474190a31f3d02cc3
Neel,tc_63d3770f4d2e3367877bab36
Lydia,tc_63da42ad276df1e8bc54a45c
Brad,tc_63e45daee48a09fcf2d45402
Catherine,tc_63edf3e806ab09dfc7719403
Natalie,tc_63f7168fddf3fa512c2a103a
Klip Kim,tc_64004d0d38436e7e4f15b2d4
Nathan,tc_640997e4bb4c0b074eef945b
Caitlyn,tc_6412c42d733f60ab8ad369a9
Jenna,tc_641c10bfb62ae5eee6db3f9e
Amber,tc_642f9d2775cffa2644e0ecc8
Jake,tc_643797da6738883e188505b7
River,tc_643f9ac36b6e3e4e54988d55
Eman,tc_644a0a57228dab7c49bfdd25
Maisie,tc_645349827a050a4142d49edf
Billie,tc_645b39b760386589fd851133
Captain Bill,tc_6513e3e95ea8304ce7602956
Norah,tc_653a07aa07552a5cf615ac91
Rita,tc_65604660f62f4fb1ea4bd79c
Lloyd,tc_65681f21097fc4326ceb5e21
Avery,tc_659655839f7a5014fe74a76c
Simon,tc_65b34b05b3fb844f3d6b7aab
Callan,tc_65bca7feace8a6fe13966252
Royce,tc_65cb142996cc219854a14065
Larry,tc_65d84b782b58da07b628d384
Chester,tc_660e5c11eef728e75f95f520
Patricia,tc_660e5c29eef728e75f95f538
Ron,tc_6620ee223bc61e2f6b79fdb5
Carol,tc_6620ee743bc61e2f6b79fdd1
Kristen,tc_662a15c1e31aab9a774b3b31
Landon,tc_6633457fb5267dbd4808a2dd
Chloe,tc_66aca22c7d31e45ff05ff418
Robert,tc_66bc600762cab997910b107b
Starling,tc_66bc60339ab2db047154b94e
Dylan,tc_672c5f5ce59fac2a48faeaee
Bruce,tc_672c5f873e4ac3afd2c02019
Chase,tc_67358772bcde863931cb6f40
Harper,tc_673587a063fc41710954ce20
Shana,tc_673eb42eef5b688d8cadd086
Dean,tc_673eb45cdc1073aef51e6b90
Ravi,tc_67480871602c751359c7b221
Lucille,tc_674808a7602c751359c7b280
Jeff,tc_67512e5af2b6dbabce63f92a
Skylar,tc_67512e8b0b5984173fa04685
Oliver,tc_675932accd1349e1c9aa0c3f
Grace,tc_675932df789ff3ea6cc6d37b
Kelsey,tc_6763aa69e0158fa7fe2ecdd2
Paige,tc_6763aa9308bfb62a22f42f3d
Carl,tc_6777666645604e14c7ff8ee5
Victoria,tc_6777669145604e14c7ff8f03
Hugh,tc_677f373da02bd83e0934e7ea
Hailey,tc_677f3763b5a012d3b3b3e85e
Viktor,tc_67888393646bd9364605d57a
Benny,tc_678883c29939d48aeb8641ae
Logan,tc_6791c4a4c79515dea68b4a75
Jackson,tc_6791c4c4bbcdc04afd3fde2f
Margot,tc_67a440ec1e05bd5665857efd
Damian,tc_67ad6d39799793979dad0e1b
Aaron,tc_67b6985d4d5d632d97478263
Rusty,tc_67bfc776d41bad708fdf4ef9
Gus,tc_67bfc79c0fdd0f534e9567b1
Valerie,tc_67c90d1c45897c4a74a51a8d
Chad,tc_67c90d6244cf859417f2fff5
Sylvia,tc_67d237aac9ac563922580832
Kanno,tc_67d237f1782cabcc6155272f
Zoey,tc_67d238428572120c4aa644cc
Verna,tc_67db74bc7b2874e2eb0c25ab
Riley,tc_67db7504d5ebacf7578e68f1
Elias,tc_67db753311833db994c4fed7
Nova,tc_67e38e49771b5511659c4690
Audrey,tc_67e38e6d4600650873ac157c
Doug,tc_67edd8ff659e800a322a5877
Janet,tc_67edd9343da73ae7896e347d
Echo,tc_67edd95eafe0d80b072ad31e
Tessa,tc_682554969f03b333d376122a
Walter,tc_6837b58f80ceeb17115bb771
Nia,tc_684a5a7ba2ce934624b59c6e
Wade,tc_685ca2dcfa58f44bdbe60d65
