name,voice_id,gender,velocity,C
Sylvia,tc_67d237aac9ac563922580832,F,0.2227,135
Kanno,tc_67d237f1782cabcc6155272f,M,0.2591,116
Zoey,tc_67d238428572120c4aa644cc,F,0.1955,153
Verna,tc_67db74bc7b2874e2eb0c25ab,F,0.2682,112
Riley,tc_67db7504d5ebacf7578e68f1,F,0.1909,157
Elias,tc_67db753311833db994c4fed7,M,0.2,150
Nova,tc_67e38e49771b5511659c4690,F,0.1864,161
Audrey,tc_67e38e6d4600650873ac157c,F,0.2045,147
Doug,tc_67edd8ff659e800a322a5877,M,0.2136,140
Janet,tc_67edd9343da73ae7896e347d,F,0.2364,127
Echo,tc_67edd95eafe0d80b072ad31e,F,0.2136,140
Tessa,tc_682554969f03b333d376122a,F,0.2364,127
Walter,tc_6837b58f80ceeb17115bb771,M,0.2227,135
Nia,tc_684a5a7ba2ce934624b59c6e,F,0.2455,122
Wade,tc_685ca2dcfa58f44bdbe60d65,M,0.2591,116
